Name,Grade,Votes
攻壳机动队 S.A.C. 2nd GIG,9.2,(7434人评分)
星际牛仔,9.1,(14558人评分)
CLANNAD 〜AFTER STORY〜,9.1,(21712人评分)
攻壳机动队 STAND ALONE COMPLEX,9.1,(8696人评分)
猫和老鼠,9.1,(9367人评分)
新世纪福音战士剧场版 Air/真心为你,8.9,(14602人评分)
攻壳机动队,8.9,(8336人评分)
浪客剑心 追忆篇,8.9,(6930人评分)
新世纪福音战士,8.8,(23902人评分)
3月的狮子 第二季,8.8,(7336人评分)
钢之炼金术师 FULLMETAL ALCHEMIST,8.8,(18445人评分)
机动警察 和平保卫战,8.8,(2817人评分)
命运石之门,8.8,(27100人评分)
攻壳机动队2 无罪,8.8,(5972人评分)
银河英雄传说,8.8,(2189人评分)
蓝色恐惧,8.7,(7798人评分)
白箱,8.7,(16429人评分)
虫师,8.7,(9328人评分)
凉宫春日的消失,8.7,(17287人评分)
银魂',8.7,(10927人评分)
千年女优,8.7,(9377人评分)
银魂,8.7,(10610人评分)
进击的巨人 第三季 Part.2,8.7,(14240人评分)
灌篮高手,8.7,(7923人评分)
千与千寻,8.6,(18929人评分)
水星领航员 第三季,8.6,(2185人评分)
莉兹与青鸟,8.6,(12667人评分)
机动战士高达0080 口袋里的战争,8.6,(4028人评分)
葬送的芙莉莲,8.6,(16986人评分)
明日之丈2,8.7,(422人评分)
魔法少女小圆,8.6,(26929人评分)
大闹天宫,8.6,(4297人评分)
哆啦A梦 大山版,8.6,(2143人评分)
乒乓,8.6,(10480人评分)
天元突破 红莲螺岩,8.6,(11869人评分)
虫师 续章 第2期,8.6,(3343人评分)
机动战士Z高达,8.6,(3220人评分)
瑞克和莫蒂 第三季,8.6,(3787人评分)
四叠半神话大系,8.6,(10711人评分)
吹响！悠风号 第三季,8.6,(2140人评分)
混沌武士,8.5,(7785人评分)
剧场版 魔法少女小圆 [新篇] 叛逆的物语,8.5,(11873人评分)
福音战士新剧场版：破,8.5,(12689人评分)
奇巧计程车,8.5,(13676人评分)
天空之城,8.5,(11287人评分)
新世纪福音战士剧场版 DEATH(TRUE)2/Air/真心为你,8.5,(5742人评分)
